domain,url,discovery_source,risk_score,risk_level,investigated_at
infinitybetcasinode-com-7a091802.pages.dev,http://infinitybetcasinode-com-7a091802.pages.dev,keyword_match,54,MEDIUM,2026-07-23 21:45:34.538588+00:00
jiliph888taya.com,http://jiliph888taya.com,keyword_match,54,MEDIUM,2026-07-26 11:18:36.709923+00:00
pokerdoms1.work,http://pokerdoms1.work,keyword_match,54,MEDIUM,2026-07-26 11:27:26.573843+00:00
vavada-64sg.buzz,http://vavada-64sg.buzz,keyword_match,54,MEDIUM,2026-07-26 10:26:52.807656+00:00
www.mobilnivulkanizer.rs,http://www.mobilnivulkanizer.rs,keyword_match,54,MEDIUM,2026-07-26 13:32:37.508793+00:00
www.winchliftingfurnitureegy.egypt100100.com,http://www.winchliftingfurnitureegy.egypt100100.com,keyword_match,54,MEDIUM,2026-07-24 00:33:12.930625+00:00
tr.oslobet-2026guncel.vip,http://tr.oslobet-2026guncel.vip,keyword_match,54,MEDIUM,2026-07-24 06:41:36.897453+00:00
zumibetcasino-org-1ba88096.pages.dev,http://zumibetcasino-org-1ba88096.pages.dev,keyword_match,54,MEDIUM,2026-07-24 06:00:19.856846+00:00
e75585ff-30d8-4adc-a86a-88cc53a0b532.ipokerdom365.ru,http://e75585ff-30d8-4adc-a86a-88cc53a0b532.ipokerdom365.ru,keyword_match,54,MEDIUM,2026-07-24 04:00:58.685473+00:00
casinometropol1008.com,http://casinometropol1008.com,keyword_match,54,MEDIUM,2026-07-26 12:37:50.052821+00:00
www.hiltonbet-guncel2026.vip,http://www.hiltonbet-guncel2026.vip,keyword_match,53,MEDIUM,2026-07-24 07:28:04.537137+00:00
madridbetkinq.cam,http://madridbetkinq.cam,keyword_match,53,MEDIUM,2026-07-26 12:57:04.277008+00:00
1xbet-cheqrun2.top,http://1xbet-cheqrun2.top,keyword_match,53,MEDIUM,2026-07-26 15:51:23.341793+00:00
azmostbet-az2026.com,http://azmostbet-az2026.com,keyword_match,53,MEDIUM,2026-07-24 09:01:48.389434+00:00
front-betting.club-vulkan.games,http://front-betting.club-vulkan.games,keyword_match,53,MEDIUM,2026-07-26 09:36:01.374604+00:00
www.xbet88.online,http://www.xbet88.online,keyword_match,53,MEDIUM,2026-07-26 12:46:22.308026+00:00
irwincasino61.com,http://irwincasino61.com,keyword_match,53,MEDIUM,2026-07-26 12:32:10.066646+00:00
ice.safirbetguncel-adres.icu,http://ice.safirbetguncel-adres.icu,keyword_match,53,MEDIUM,2026-07-26 11:51:41.761242+00:00
