url,domain,discovery_source,risk_score,risk_level,confirmed_live,investigated_at,live_at_export_time
http://melbet.medtechnika.ru,melbet.medtechnika.ru,keyword_match,30,LOW,False,2026-07-25 18:53:19.881808+00:00,True
http://stekloizerkalo.ru,stekloizerkalo.ru,keyword_match,25,LOW,False,2026-07-25 15:58:04.618815+00:00,True
http://bitstarzcasinoapp.com,bitstarzcasinoapp.com,keyword_match,22,LOW,False,2026-07-25 20:47:18.200790+00:00,True
http://www.ag60plus-vulkaneifel.de,www.ag60plus-vulkaneifel.de,keyword_match,66,HIGH,True,2026-07-26 13:07:52.499569+00:00,True
http://www.vulkan-stars-slots.com,www.vulkan-stars-slots.com,keyword_match,31,LOW,False,2026-07-25 10:53:21.721869+00:00,True
http://onlinecasinogamesplay.link,onlinecasinogamesplay.link,keyword_match,31,LOW,False,2026-07-25 10:11:38.476533+00:00,True
http://ajjili.shop,ajjili.shop,keyword_match,28,LOW,False,2026-07-26 07:13:26.342505+00:00,True
http://campnhatho-grandbetdfgdff.pages.dev,campnhatho-grandbetdfgdff.pages.dev,keyword_match,23,LOW,True,2026-07-24 00:13:19.349485+00:00,True
http://1xbet-ieoa.top,1xbet-ieoa.top,keyword_match,33,LOW,False,2026-07-25 21:27:22.273605+00:00,True
http://account.1xbet-idad.top,account.1xbet-idad.top,keyword_match,45,MEDIUM,True,2026-07-26 11:43:11.467806+00:00,True
http://joycasino.vhod420.casino,joycasino.vhod420.casino,keyword_match,44,MEDIUM,False,2026-07-24 21:45:41.986227+00:00,True
http://mostbetindirtr.com,mostbetindirtr.com,keyword_match,29,LOW,False,2026-07-26 01:39:07.260810+00:00,True
http://cdn.1xbet-blaz.top,cdn.1xbet-blaz.top,keyword_match,31,LOW,False,2026-07-26 07:22:18.308171+00:00,True
http://www.slotgrandbet.org,www.slotgrandbet.org,keyword_match,33,LOW,False,2026-07-24 20:20:20.116401+00:00,True
http://pinup-lpb.top,pinup-lpb.top,keyword_match,38,LOW,False,2026-07-25 21:28:04.936370+00:00,True
http://ramadabetguncelgiris.com,ramadabetguncelgiris.com,keyword_match,45,MEDIUM,False,2026-07-24 14:03:48.000352+00:00,True
http://8xbet1.biz,8xbet1.biz,keyword_match,34,LOW,False,2026-07-25 17:29:20.995771+00:00,True
http://l9h7.fbjili9.com,l9h7.fbjili9.com,keyword_match,33,LOW,True,2026-07-24 05:14:50.836395+00:00,True
http://onlinecasinogratisspins-nl.pages.dev,onlinecasinogratisspins-nl.pages.dev,keyword_match,30,LOW,True,2026-07-24 10:04:33.554799+00:00,True
http://vnjili.com,vnjili.com,keyword_match,26,LOW,True,2026-07-24 09:17:07.667156+00:00,True
http://tfjili.app,tfjili.app,keyword_match,24,LOW,False,2026-07-25 18:28:28.983337+00:00,True
http://1xbet-no.org,1xbet-no.org,keyword_match,28,LOW,False,2026-07-25 08:12:32.397464+00:00,True
http://grandpashabet-c-pinco-tr.pu550ev.com,grandpashabet-c-pinco-tr.pu550ev.com,keyword_match,52,MEDIUM,False,2026-07-25 13:21:59.430593+00:00,True
http://manage.1xbet-zyjf.top,manage.1xbet-zyjf.top,keyword_match,33,LOW,False,2026-07-26 03:57:34.805339+00:00,True
http://vulkan-stars-slots.com,vulkan-stars-slots.com,keyword_match,37,LOW,True,2026-07-24 06:04:50.481953+00:00,True
http://spinup-12.votepro.org,spinup-12.votepro.org,keyword_match,49,MEDIUM,True,2026-07-23 16:57:38.771433+00:00,True
http://1wincasinopokerplay2.xyz,1wincasinopokerplay2.xyz,keyword_match,48,MEDIUM,True,2026-07-26 13:06:22.953493+00:00,True
http://trbetcasinobahis.com,trbetcasinobahis.com,keyword_match,20,LOW,True,2026-07-23 22:18:04.146587+00:00,True
http://bestonlinecasinoellada.gr,bestonlinecasinoellada.gr,keyword_match,41,MEDIUM,False,2026-07-26 02:28:37.614237+00:00,True
http://wwwwjili-ph.com,wwwwjili-ph.com,keyword_match,20,LOW,False,2026-07-25 07:14:49.381082+00:00,True
http://support.canli1xbetyap.com,support.canli1xbetyap.com,keyword_match,20,LOW,True,2026-07-24 07:51:26.212717+00:00,True
http://www.mostbetcasinokz.com,www.mostbetcasinokz.com,keyword_match,35,LOW,False,2026-07-25 15:07:05.423396+00:00,True
http://jjiliko.com,jjiliko.com,keyword_match,20,LOW,False,2026-07-25 14:02:44.105262+00:00,True
http://pokerklas.ws,pokerklas.ws,keyword_match,26,LOW,True,2026-07-24 09:09:11.747475+00:00,True
http://carnivalpinup.christinadownen.com,carnivalpinup.christinadownen.com,keyword_match,34,LOW,False,2026-07-25 16:31:45.754454+00:00,True
http://www.jojobetbonus.com,www.jojobetbonus.com,keyword_match,27,LOW,False,2026-07-26 03:05:33.806859+00:00,True
http://pinco-casino-a7lq.buzz,pinco-casino-a7lq.buzz,keyword_match,35,LOW,False,2026-07-25 14:09:48.826274+00:00,True
http://guncelmariobetgiris.com,guncelmariobetgiris.com,keyword_match,41,MEDIUM,False,2026-07-24 10:58:04.821782+00:00,True
http://betway-bc.com,betway-bc.com,keyword_match,42,MEDIUM,True,2026-07-24 07:40:38.264841+00:00,True
http://vavada-polish.pl,vavada-polish.pl,keyword_match,33,LOW,False,2026-07-24 17:02:49.901729+00:00,True
http://dollartopincome107.pages.dev,dollartopincome107.pages.dev,keyword_match,46,MEDIUM,False,2026-07-26 04:33:08.169390+00:00,True
http://kareasbetguncel.com,kareasbetguncel.com,keyword_match,29,LOW,True,2026-07-24 04:23:02.496419+00:00,True
http://ww38.pokerklas749.com,ww38.pokerklas749.com,keyword_match,53,MEDIUM,False,2026-07-25 21:09:53.566547+00:00,True
http://riobetcasino-fic.top,riobetcasino-fic.top,keyword_match,26,LOW,False,2026-07-24 11:34:22.476788+00:00,True
http://pinupappuz.com,pinupappuz.com,keyword_match,22,LOW,False,2026-07-24 17:07:03.091480+00:00,True
http://jilijlfun.com,jilijlfun.com,keyword_match,39,LOW,False,2026-07-24 18:20:15.086863+00:00,True
